City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
531,tarsus,36.9188,34.8784,51.67,86,77,6.91,TR,1675016821
532,maumere,-8.6199,122.2111,79.25,87,100,3.71,ID,1675016822
533,tres arroyos,-38.3739,-60.2798,95.43,17,0,7.2,AR,1675016823
534,ayan,56.45,138.1667,-10.59,73,47,11.61,RU,1675016824
535,grindavik,63.8424,-22.4338,34.27,93,75,11.5,IS,1675016824
536,heihe,50.2441,127.4902,-24.61,100,31,2.08,CN,1675016826
537,celestun,20.8667,-90.4,83.5,53,7,4.76,MX,1675016826
538,matamoros,25.5333,-103.25,74.1,35,0,0.0,MX,1675016829
539,north battleford,52.7834,-108.2847,-10.59,70,0,14.97,CA,1675016801
540,egvekinot,66.3167,-179.1667,13.28,88,87,11.88,RU,1675016830
541,marrakesh,31.6315,-8.0083,57.27,44,20,3.44,MA,1675016687
542,kikwit,-5.041,18.8162,73.02,88,41,2.84,CD,1675016832
543,talakan,50.3167,130.3667,-28.93,100,66,1.28,RU,1675016833
544,encruzilhada,-15.5314,-40.9094,81.99,55,70,7.09,BR,1675016833
545,chimbarongo,-34.7,-71.05,90.72,13,0,6.76,CL,1675016834
546,baraboo,43.4711,-89.7443,18.23,71,100,6.91,US,1675016835
547,beringovskiy,63.05,179.3167,22.64,96,100,11.63,RU,1675016836
548,tazovskiy,67.4667,78.7,-16.78,100,97,4.94,RU,1675016838
549,vestmannaeyjar,63.4427,-20.2734,36.59,80,0,11.5,IS,1675016839
550,saint-pierre,-21.3393,55.4781,82.08,74,0,0.0,RE,1675016839
551,general jose eduvigis diaz,-27.1667,-58.4167,96.84,23,30,4.92,PY,1675016840
552,myitkyina,25.3833,97.4,60.76,57,4,2.39,MM,1675016840
553,santa lucia,27.9117,-15.5407,54.77,77,75,13.8,ES,1675016842
554,sao miguel do araguaia,-13.275,-50.1628,84.31,64,30,2.39,BR,1675016765
555,nizhneivkino,58.194,49.5214,14.2,93,98,9.22,RU,1675016844
556,marsaxlokk,35.8419,14.5431,48.81,93,75,6.91,MT,1675016845
557,okhotsk,59.3833,143.3,-14.01,79,43,20.42,RU,1675016846
558,pasewalk,53.5063,13.99,37.47,85,100,15.14,DE,1675016847
559,harindanga,22.0383,88.3214,68.27,28,6,5.91,IN,1675016847
560,bengkulu,-3.8004,102.2655,74.8,92,100,5.84,ID,1675016638
561,tambopata,-12.7333,-69.1833,73.29,88,100,3.44,PE,1675016849
562,coquimbo,-29.9533,-71.3436,65.93,72,75,11.5,CL,1675016633
563,orange cove,36.6244,-119.3137,51.3,95,100,10.36,US,1675016850
564,annau,37.8876,58.516,38.7,60,75,6.91,TM,1675016850
565,maniitsoq,65.4167,-52.9,21.9,87,100,17.56,GL,1675016669
